127.0.0.1 - - [26/Jun/2018:00:29:38 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [26/Jun/2018:00:29:47 +0800] "GET /Password-box-4/account/trashAccountList.jsp HTTP/1.1" 200 1786
0:0:0:0:0:0:0:1 - - [26/Jun/2018:00:29:47 +0800] "GET /Password-box-4/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2018:00:29:47 +0800] "GET /Password-box-4/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2018:00:29:47 +0800] "GET /Password-box-4/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2018:00:29:47 +0800] "GET /Password-box-4/css/trashaccountlist.css HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [26/Jun/2018:00:29:52 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [26/Jun/2018:00:35:36 +0800] "GET /Password-box-4/account/trashAccountList.jsp HTTP/1.1" 200 1786
0:0:0:0:0:0:0:1 - - [26/Jun/2018:00:35:39 +0800] "GET /Password-box-4/account/trashAccountList.jsp HTTP/1.1" 200 1786
0:0:0:0:0:0:0:1 - - [26/Jun/2018:00:36:00 +0800] "GET /Password-box-4/account/updateAccount.jsp HTTP/1.1" 200 1748
0:0:0:0:0:0:0:1 - - [26/Jun/2018:00:36:00 +0800] "GET /Password-box-4/css/addaccount.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2018:02:35:53 +0800] "GET /Password-box-4/user/info.jsp HTTP/1.1" 200 2801
0:0:0:0:0:0:0:1 - - [26/Jun/2018:02:35:53 +0800] "GET /Password-box-4/css/register.css HTTP/1.1" 304 -
